# 
#
data3.txt
Categorization
Numerical,Numerical,Label
x,y,Label
1.528244,2.71013,?,(Learn)
2.120208,4.661918,?,(Learn)
-2.807022,3.736396,?,(Learn)
-3.447223,0.280401,?,(Learn)
0.306181,0.054788,?,(Learn)
-1.244902,1.826197,?,(Learn)
-2.22821,1.762201,?,(Learn)
4.300809,-2.508276,?,(Learn)
-3.462955,3.570285,?,(Learn)
0.085374,1.742277,?,(Learn)
-5.528757,-0.001044,?,(Learn)
-0.742246,2.979141,?,(Learn)
0.735701,0.590622,?,(Learn)
1.532187,0.795621,?,(Learn)
-3.096869,0.340788,?,(Learn)
-0.485552,3.669302,?,(Learn)
-3.30232,-3.351874,?,(Learn)
-3.089769,-3.495181,?,(Learn)
0.189136,0.067558,?,(Learn)
-1.338767,-1.292194,?,(Learn)
-0.981088,2.531614,?,(Learn)
1.387836,2.81622,?,(Learn)
-0.553113,-2.594389,?,(Learn)
1.27517,1.999975,?,(Learn)
2.693324,2.892758,?,(Learn)
0.353708,-0.593868,?,(Learn)
-1.229906,5.100183,?,(Learn)
1.885898,-0.731121,?,(Learn)
-0.486978,-1.160526,?,(Learn)
0.686163,0.511828,?,(Learn)
1.345317,-2.545449,?,(Learn)
-0.200064,-1.218304,?,(Learn)
3.156762,-4.060799,?,(Learn)
1.610434,2.134188,?,(Learn)
0.428224,-1.726002,?,(Learn)
1.226521,-3.163153,?,(Learn)
-4.559773,2.687168,?,(Learn)
-3.142256,1.122113,?,(Learn)
-1.635962,0.887634,?,(Learn)
-1.467059,0.132607,?,(Learn)
-0.602982,1.436406,?,(Learn)
-2.112778,-0.511126,?,(Learn)
1.813307,1.419528,?,(Learn)
-1.329763,-5.553984,?,(Learn)
2.425374,3.091574,?,(Learn)
-1.93318,-0.119315,?,(Learn)
0.579431,-3.274025,?,(Learn)
-1.417772,1.174562,?,(Learn)
-1.618793,-1.612059,?,(Learn)
-2.510326,-2.485663,?,(Learn)
-2.368585,0.985546,?,(Learn)
-0.923703,-1.153819,?,(Learn)
2.518845,-3.406605,?,(Learn)
1.743761,4.476661,?,(Learn)
-0.704474,-0.212869,?,(Learn)
-5.361047,0.522407,?,(Learn)
1.444946,-1.611869,?,(Learn)
3.609087,-3.733709,?,(Learn)
1.490834,0.76015,?,(Learn)
-0.369905,-2.394773,?,(Learn)
4.763473,0.926006,?,(Learn)
1.010412,-2.845677,?,(Learn)
1.590747,1.816481,?,(Learn)
-1.248569,-1.872777,?,(Learn)
1.886615,0.020558,?,(Learn)
-4.437973,1.017073,?,(Learn)
-0.434882,0.520055,?,(Learn)
-3.430263,0.935021,?,(Learn)
-2.086404,3.957577,?,(Learn)
0.937546,1.926682,?,(Learn)
2.366956,-1.407217,?,(Learn)
-3.671949,-3.23621,?,(Learn)
0.177902,-2.468856,?,(Learn)
-3.000362,-0.027776,?,(Learn)
2.993277,-1.178894,?,(Learn)
-2.169369,3.206621,?,(Learn)
1.425449,0.702049,?,(Learn)
-1.956234,1.744783,?,(Learn)
3.901644,-3.85373,?,(Learn)
0.898478,2.614391,?,(Learn)
1.403684,1.135131,?,(Learn)
-2.034923,4.269773,?,(Learn)
-0.653912,-0.453653,?,(Learn)
1.058945,-0.025184,?,(Learn)
5.279228,-0.040743,?,(Learn)
1.072106,2.690993,?,(Learn)
-1.93065,-0.691229,?,(Learn)
-0.045855,-0.721529,?,(Learn)
-0.662021,0.306326,?,(Learn)
2.93806,1.613113,?,(Learn)
-1.993688,-0.742621,?,(Learn)
-0.239971,-2.285397,?,(Learn)
-2.067672,-3.05308,?,(Learn)
